ProductID,SaleDate,QuantitySold,SaleAmount
13,2023-02-14,6,461.67065446728543
16,2023-01-25,24,1273.7680633365003
1,2023-07-08,44,3121.2430331472583
4,2023-05-12,33,2132.923831515862
4,2023-04-10,12,891.8726911363457
8,2023-03-05,41,2142.4446056064207
10,2023-08-12,21,1071.867637881769
19,2023-05-05,11,1007.3539061895694
5,2023-03-25,44,983.3928635848907
7,2023-08-17,38,1163.9300849561016
13,2023-05-30,29,2590.937891939616
2,2023-07-30,48,4387.11589497748
7,2023-02-21,41,2792.945168472008
8,2023-09-29,3,117.66440245794564
15,2023-02-12,28,1589.672208018856
18,2023-03-01,20,200.09964235701543
6,2023-07-14,26,989.7529163963226
14,2023-02-07,24,1158.9753219767001
9,2023-09-25,47,4214.9783001485475
10,2023-03-29,21,1494.9721726087942
17,2023-02-14,30,1531.5503847317273
6,2023-12-28,4,214.02710197555095
16,2023-01-13,36,2915.5157452037984
16,2023-09-17,40,1225.9906040957635
1,2023-11-05,10,892.2678428035042
19,2023-03-23,10,382.32315325722675
4,2023-02-03,42,4039.1642343908447
18,2023-07-03,24,1258.9833931284506
15,2023-05-10,4,296.17017414189297
8,2023-10-23,47,1120.126910182979
1,2023-10-04,27,2044.9744890573104
2,2023-06-25,45,3067.3709711244737
10,2023-02-13,4,117.35706523020814
1,2023-07-05,32,856.9996721292948
11,2023-03-20,10,826.8222419729086
4,2023-10-15,11,849.6086754378418
12,2023-10-09,28,1980.6153117403042
19,2023-05-07,46,1606.340128382757
3,2023-09-17,8,205.93438950284542
1,2023-01-05,40,2936.1073302165782
1,2023-04-06,22,1137.0373959804638
5,2023-08-16,34,2911.711309558423
6,2023-12-31,45,1279.7063368308052
7,2023-09-28,35,869.6204344732855
9,2023-10-25,35,743.2241310937709
18,2023-11-26,25,1874.6814904061844
16,2023-01-21,34,433.186072721297
5,2023-04-07,6,463.3768897077319
10,2023-11-26,41,751.6798492873149
11,2023-09-07,37,1094.1101407095541
2,2023-07-01,1,77.43289753569157
2,2023-11-21,12,910.2292569818658
8,2023-11-15,35,493.6861070252922
10,2023-09-29,6,172.9447959196542
4,2023-12-20,17,608.980016249925
7,2023-09-19,9,638.5832773241259
12,2023-08-27,2,31.346892140487814
15,2023-05-21,18,1080.151773287635
19,2023-03-29,49,530.7487240756448
1,2023-04-21,36,3059.0434359304263
15,2023-11-29,28,2760.5101745572674
4,2023-07-05,41,3005.895753457051
13,2023-01-18,37,974.8318976385224
11,2023-06-03,49,2749.6551731349355
12,2023-05-31,26,1618.2463010202243
5,2023-04-22,4,323.5151761438093
7,2023-01-27,40,2583.311656246872
5,2023-04-29,36,1067.62524959063
16,2023-03-26,31,1579.9209943894111
4,2023-06-12,30,2672.948302799171
13,2023-12-28,34,1846.3408190057858
5,2023-08-18,19,1413.6095792549581
9,2023-09-10,18,967.5784877041402
15,2023-05-03,30,2213.0800050540083
16,2023-11-24,21,1151.4850262091184
4,2023-10-16,3,258.0285214574244
16,2023-01-15,6,164.9448003892109
14,2023-11-25,38,3024.774952868149
17,2023-07-05,13,1269.8826367129623
18,2023-06-03,45,3942.354598268646
6,2023-03-22,3,240.7151957980836
10,2023-02-12,48,4735.339444775578
4,2023-10-03,28,2178.9954088138506
1,2023-02-11,22,228.01525060948416
6,2023-07-28,40,1370.1259622492237
1,2023-09-26,40,1877.771697140045
18,2023-06-17,12,582.4817386857208
19,2023-04-23,23,846.5325644089667
5,2023-12-17,31,1429.1592329485711
3,2023-05-11,18,375.46432572151394
17,2023-08-13,7,687.8407946351322
4,2023-10-29,8,372.40675494654397
3,2023-08-06,19,1163.3503997600994
11,2023-01-26,29,1186.8103632165376
14,2023-03-10,44,3563.936199769078
17,2023-09-18,20,940.4703452682883
8,2023-08-24,42,1778.045956487124
10,2023-07-25,30,1378.6470578534436
1,2023-10-20,47,1746.744605173395
11,2023-08-04,22,1754.9351593838899
